Name,Siblings,# Transits,Rp/Rs,Semimajor axis [AU],Inclincation [Deg],Eccentricity,Arg. of Periastron,Rel. Depth,Chi-sqaure,Depth Recovery RMS [Days],TTV recovery RMS,Failed fitting,Failed injection
Kepler-149 b,"d, c",49,0.040167901058201,40.46925540882066,89.47368421052632,0.0,0.0,0.0019033659830147,8.081811906045691e-07,0.0004068814882399,0.2405978997994891,False,False
Kepler-37 d,"b, e, c",36,0.0225068088461538,58.47217096832726,89.47368421052632,0.0,0.0,0.0005701511750951,1.1693992024244493e-07,0.000118362859871,0.1898226016388844,False,False
Kepler-82 c,"d, e, f, b",28,0.0534691516129032,61.515345506412096,89.47368421052632,0.0,162.0,0.0031816786524997,6.133944566978663e-07,0.0006315944384564,0.326466522276136,False,False
Kepler-462 c,b,7,0.0229473689095127,85.81324592010276,89.47368421052632,0.0,14.9,0.0005110836041655,2.2302567703176973e-08,7.843527415241541e-05,0.3051083042467472,False,False
Kepler-87 b,c,13,0.0677474435733333,65.78546541173974,89.47368421052632,0.0,238.6,0.0050197143190424,1.5733675573504837e-07,0.0004221983299999,0.3679495017120054,False,False
Kepler-643 b,None,85,0.0411551804089219,10.559751313619874,86.3157894736842,0.0,0.0,0.0017830928588471,6.28888721289734e-08,0.0002221585679619,0.4594186016108504,False,False
Kepler-1519 b,None,6,0.060898705,116.16370546162636,90.0,0.0,0.0,0.0045390962208441,2.441856666652043e-07,0.000674992663483,0.501169447802538,False,False
Kepler-799 b,c,11,0.0615288635643564,112.98762158544304,90.0,0.0,0.0,0.0046334789201651,4.929757472484966e-07,0.0008289857816072,0.4246470350738332,False,False
Kepler-302 c,b,12,0.1161861589150943,99.55374362445248,89.47368421052632,0.0,0.0,0.0100033967236461,7.310065850842465e-07,,,False,True
Kepler-516 b,None,58,0.0250075653846153,22.294804327588107,89.47368421052632,0.0,0.0,0.000757553700408,6.499528973562786e-08,0.0003581221658127,0.5098844332702333,False,False
Kepler-127 d,"b, c",30,0.018744772014652,44.09338089589762,89.47368421052632,0.0,0.0,0.0004114656906427,,0.0001446456972323,0.6029099868967075,False,False
Kepler-816 b,None,118,0.1083949144654088,24.1539121906296,89.47368421052632,0.0,0.0,0.014184155981743,5.11801423743077e-06,0.0015380251425648,0.0962278906897647,False,False
Kepler-1628 b,,,,,,,,,,,,True,True
Kepler-11 e,"d, f, g, b, c",45,0.034557358490566,38.96948374988756,89.47368421052632,0.0,204.69,0.0014129399221619,9.024273653528297e-08,0.0002977252148798,0.2280568363240863,False,False
Kepler-732 b,c,150,0.044701023125,30.32847575979775,89.47368421052632,0.0,0.0,0.0023972480709884,,0.0004470820730667,0.128523897612399,False,False
Kepler-1085 b,c,6,0.0514520484466019,154.30113849438456,90.0,0.0,0.0,0.0032405326500718,2.947854380362155e-07,0.0005440906508397,0.4764824721269752,False,False
Kepler-20 c,"d, e, f, g, b",134,0.0298363774193548,21.24886394301549,89.47368421052632,0.0,0.0,0.0010793982783416,1.709908612762597e-07,0.0001731630637064,0.182944795138498,False,False
Kepler-433 b,None,274,0.0596677337110481,7.309870674925414,89.47368421052632,0.0,66.5,0.0043525979722159,2.9133711745700576e-07,0.0006532145623038,0.2401882860404369,False,False
Kepler-247 c,"d, b",150,0.0549705432531645,22.86416511106417,88.42105263157895,0.0,0.0,0.0032655304943893,1.5881730626956694e-06,0.0006460428716533,0.1459416209576459,False,False
Kepler-1446 b,,,,,,,,,,,,True,True
